restaurant_name,locality,address,cuisines_0,cuisines_1,cuisines_2,cuisines_3,cuisines_4,cuisines_5,cuisines_6,cuisines_7
Le Arabia,Basaveshwara Nagar,11th Main Road Bimajyothi LIC Colony Basaveshwara Nagar Bangalore,North Indian, Mughlai, Chinese, Kerala, Biryani, Beverages, Desserts, 
Nando's,Indiranagar,1088 12th Main HAL 2nd Stage Off 100 Feet Road Indiranagar Bangalore,Portuguese, Wraps, Burger, Salad, , , , 
McDonald's,Brookefield,736 Near Tata Motors Kundanahalli Road Brookefield Bangalore,Burger, Fast Food, , , , , , 
92 Cafe Colony,Banashankari,241 4th Floor Outer Ring Road Opposite Kamakya Theatre 3rd Stage Banashankari Bangalore,Cafe, Continental, Chinese, North Indian, Beverages, , , 
Just BLR,Brigade Road,185 1st Floor Deena Complex Brigade Road Bangalore,Bar Food, Continental, North Indian, Italian, Beverages, , , 
Nandhana Palace,Indiranagar,4034 HAL 2nd Stage 100 Feet Road Indiranagar Bangalore,Andhra, Biryani, North Indian, Chinese, , , , 
AB's - Absolute Barbecues,BTM,100 Feet Road 1st Phase Near Jayadeva Flyover 2nd Stage BTM Bangalore,Bar Food, Continental, North Indian, BBQ, , , , 
Kosta Spice,Bellandur,99 AV Bureauex Green Glen Layout Bellandur Bangalore,Andhra, , , , , , , 
Baskin Robbins,Ascendas Park Square Whitefield,4th Floor Park Square Mall ITPB Main Road Whitefield Bangalore,Ice Cream, Desserts, Beverages, , , , , 
Dyu Art Cafe,Koramangala 8th Block,23 KHB - Mig Colony Koramangala 8th Block Bangalore,Cafe, Italian, Continental, Beverages, , , , 
Sagar Hotel,Rajajinagar,1846/72 D Block 4th Cross 3rd Stage Rajajinagar Bangalore,North Indian, Chinese, Street Food, , , , , 
Biergarten,Whitefield,2 Doddanekkundi Whitefield Road Mahadevpura Whitefield Bangalore,Continental, European, BBQ, Chinese, Asian, , , 
Feast - Sheraton Grand Bangalore Hotel at Brigade...,Sheraton Grand Bangalore Hotel at Brigade Gateway,Sheraton Grand Bangalore Hotel Brigade Gateway Malleshwaram Bangalore,North Indian, Continental, Fast Food, Asian, Beverages, , , 
Pot Biryani,New BEL Road,12 Deepak Mansion 2nd Cross MSR College Road Mathikere New BEL Road Bangalore,North Indian, Chinese, Biryani, , , , , 
Waffle Stories,Ascendas Park Square Whitefield,4th Floor Park Square Mall ITPB Main Road Whitefield Bangalore,Desserts, , , , , , , 
Cafe Aurora,JP Nagar,1745 YR Complex 3rd Floor 9th Cross Road 2nd Phase Near HDFC Bank JP Nagar Bangalore,Cafe, American, Italian, Desserts, , , , 
Swarna Fine Dine,Nagarbhavi,793/299 Jaya Arcade 80 Feet Road Old Ring Road Mallathahalli Village Nagarbhavi Bangalore,North Indian, Chinese, Andhra, Seafood, Mughlai, , , 
Meghana Biryani House,Sahakara Nagar,6 B Sector Amruthnagar Sahakara Nagar Post Sahakara Nagar Bangalore,Biryani, Andhra, , , , , , 
eat.fit,BTM,96 29th Main 23rd Cross 2nd Stage BTM Bangalore,Healthy Food, North Indian, Biryani, Continental, Desserts, , , 
WarmOven Cake & Desserts,Brookefield,265 4th Floor 1st Main Road A Block ACES Layout Above Ganesh Bhavan Brookefield Bangalore,Bakery, Desserts, , , , , , 
The Pizza Bakery - Brew & Eatery,Indiranagar,2985 12th Main HAL 2nd Stage Indiranagar Bangalore,Pizza, Continental, Italian, Desserts, Beverages, , , 
Biriyani Zone,Marathahalli,92/5 Outer Ring Road Opposite Innovative Multiplex Marathahalli Bangalore,Biryani, North Indian, Chinese, Seafood, , , , 
Sarposh,Indiranagar,39 1st Floor 80 Feet Road Opposite 12th Main Indiranagar Bangalore,Kashmiri, North Indian, Beverages, , , , , 
The Hole In The Wall Cafe,Koramangala 4th Block,4 8th Main Road Koramangala 4th Block Bangalore,Cafe, American, Burger, , , , , 
