restaurant_name,locality,address,cuisines_0,cuisines_1,cuisines_2,cuisines_3,cuisines_4,cuisines_5,cuisines_6,cuisines_7
Sharief Bhai,Whitefield,710 Varthur Main Road Thubarahalli Whitefield Bangalore,Mughlai, Seafood, Rolls, Biryani, Desserts, , , 
Kapoor's Cafe,Jayanagar,GVS Complex 4th Floor 3rd Block Jayanagar Bangalore,North Indian, Paan, Beverages, , , , , 
Suraksha Biriyani Paradise,Jalahalli,163 Papaiah Building Opposite Patel Narayanswamy Layout Chokkasandra Jalahalli Bangalore,Biryani, North Indian, , , , , , 
You Me And Tea,HSR,1673 27th Main Road HSR layout Sector 2 HSR Bangalore,Chinese, North Indian, Fast Food, Bengali, Tea, Street Food, , 
Absolute Chinese,Kaggadasapura,Shop 7 121/3 7th Cross 5th Main Maruthi Nagar Vemana Road Chikkagurappa Layout Malleshpalya Kaggadasapura Bangalore,Chinese, Seafood, , , , , , 
Meat And Eat,JP Nagar,11 24th Main Ayodya Nagar 5th Phase JP Nagar Bangalore,Fast Food, Beverages, Burger, , , , , 
Roti Wala,BTM,239 7th Cross Stage 2 BTM Bangalore,North Indian, Fast Food, , , , , , 
Meghana Biryani,Bellandur,163 Shreyas Arcade Opposite Apollo Pharmacy Green Glen Layout Bellandur Bangalore,North Indian, Chinese, Biryani, , , , , 
Dunkin' Donuts,Yelahanka,Unit G11 Mfar Manyata Tech Park Phase 4 Nagwara Village Yelahanka Bangalore,Desserts, Burger, Beverages, , , , , 
Paakashala,Indiranagar,219 2nd Main Road Stage 2 Hoysala Nagar Indiranagar Bangalore,North Indian, Chinese, South Indian, Fast Food, Beverages, , , 
Big Cup Cafe,New BEL Road,Plot 72 Microexcel Plaza 80 Feet Road RMV 2nd Stage Near Ramaiah Hospital New BEL Road Bangalore,Cafe, Fast Food, Desserts, , , , , 
The Lobby Brew - Conrad Bengaluru,Conrad Bengaluru Ulsoor,Conrad Bengaluru Kensington Road Ulsoor Bangalore,Cafe, North Indian, Fast Food, Desserts, Beverages, , , 
Ultimate Punjabi,BTM,Delivery Only,North Indian, Chinese, , , , , , 
Belly Cravings,BTM,270/1 6th Main Mico Layout 2nd Stage BTM Bangalore,Street Food, Salad, Beverages, , , , , 
Sangam Sweets,HSR,1090 18th Cross Road Sector 3 HSR Bangalore,Mithai, Street Food, Fast Food, , , , , 
All Aromas,Jayanagar,10-11 7th Cross BHEL Layout SRK Garden Jayanagar Bangalore,North Indian, Biryani, , , , , , 
Taco Bell,Koramangala 6th Block,2/3 80 Feet Road Sony World Signal Opposite Sapphirez Koramangala 6th Block Bangalore,American, Fast Food, Mexican, Wraps, , , , 
Melukote Puliyogare Point,BTM,Delivery Only,South Indian, , , , , , , 
Al Zara Mandi Arabian Restaurant,Frazer Town,137 Ground 1st - 3rd Floor MM Road Frazer Town Bangalore,Arabian, , , , , , , 
Poha On Wheels,Sarjapur Road,Kaikondrahali Sarjapur Road Bangalore,Fast Food, , , , , , , 
KGN Hyderabad Durbar Biryani,Jakkur,Shop 40 64/40 Noor Nagara Chokkanahalli Jakkur Bangalore,Biryani, Chinese, Hyderabadi, , , , , 
Angel Mutton Leg Soup,Thippasandra,5 10th Main Road HAL 3rd Stage Puttappa layout New Thippasandra Bangalore,South Indian, , , , , , , 
Koramangala Social,Bommanahalli,Impresario Central Kitchen 735/11/12 VP Khata 336 Behind Laxmi Vijaya Saw Mill Near ICICI Bank Begur Hobli Bommanahalli Bangalore,North Indian, Chinese, Biryani, American, Continental, , , 
Mani's Dum Biryani,Marathahalli,35/10 Varthur Main Road Munne Kolala Marathahalli Bangalore,Biryani, Andhra, , , , , , 
Chai Resto,HSR,2340 17th Cross 24th Main Opposite Basaveshwara Gayathri Temple Sector 1 HSR Layout Bangalore,Tea, Fast Food, Street Food, Beverages, , , , 
The Filter Coffee,Kalyan Nagar,7th Main Road HRBR Layout Kalyan Nagar Bangalore,South Indian, Coffee, , , , , , 
Zaitoon,Old Airport Road,138 Maruthi Towers Old Airport Road Bangalore,BBQ, Arabian, Chinese, North Indian, Desserts, , , 
California Burrito,JP Nagar,287 15th Cross 5th Phase JP Nagar Bangalore,Mexican, Fast Food, Healthy Food, , , , , 
The Bistro @ Global Village,Rajarajeshwari Nagar,House 451/C BEML Layout Mylasandra Rajarajeshwari Nagar Bangalore,Chinese, North Indian, Mangalorean, Mughlai, Kebab, , , 
Yummus,Old Airport Road,137 Builders Apartment Murugesh Pallya Kodihalli Old Airport Road Bangalore,Mediterranean, , , , , , , 
Shree Muthahalli Veg,HSR,240 19th Main Sector 4 HSR Bangalore,Street Food, North Indian, Chinese, Beverages, , , , 
Meghana Biryani,Brookefield,Varthur Road Tigalarpalya Brookefield Bangalore,Biryani, North Indian, Chinese, Mughlai, Rolls, , , 
Al Chin,BTM,Delivery Only,Fast Food, , , , , , , 
Simhapuri Mess,Old Airport Road,8 BDA Main Road NR Colony HAL Post Old Airport Road Bangalore,Andhra, Biryani, , , , , , 
Taiki,Indiranagar,656 100 Feet Road Indiranagar Bangalore,Japanese, Korean, Thai, Asian, Sushi, Desserts, , 
Elite Kerala Mess,Bannerghatta Road,22 1st Cross Bilekalli Bommanahalli Bannerghatta Road Bangalore,Kerala, South Indian, Biryani, , , , , 
New Punjabi Tadka,Electronic City,60 Opposite Bhel New Valankani Tech Park Doddathogur Phase 1 Electronic City Bangalore,North Indian, Chinese, , , , , , 
Ambur Biryani Point,Koramangala 1st Block,303 1st Main 1st Block Jakkasandra Koramangala 1st Block Bangalore,Biryani, Kebab, , , , , , 
Plan B,Indiranagar,957 Near Gold's Gym 12th Main Off 100 Feet Road Indiranagar Bangalore,American, Continental, Bar Food, Burger, Beverages, , , 
Shanmukha,Marathahalli,93/7 C Narayana Reddy Plaza Marathahalli  Outer Ring Road,Biryani, Andhra, North Indian, Chinese, , , , 
Cafe Runway,International Airport,Kannamangala Gate Bellary Road International Airport Bangalore,Chinese, Pizza, Fast Food, Beverages, , , , 
New Delhi Mess,Jalahalli,Acharya College Road Chikka Banavara Post Dasanapura Jalahalli Bangalore,North Indian, Chinese, , , , , , 
Say Cheese Cake,Koramangala 6th Block,4 3rd Floor Asha Mansion 6th Cross Road Koramangala 6th Block Bangalore,Bakery, Desserts, Beverages, , , , , 
Spicy Platter,BTM,Site 39 Old House 8/10 1st Cross N.S Palya Rastrakavi Kuvempu Nagar BTM Bangalore,North Indian, Chinese, Fast Food, Mughlai, , , , 
Bathinda Junction,BTM,36 29th Main Road Stage 2 Mahadeshwara Nagar BTM Bangalore,North Indian, Chinese, , , , , , 
Budapest Bake Inn,BTM,799 Ground Floor 7th Cross 15th Main Micolayout 2nd Stage BTM Bangalore,Desserts, Beverages, , , , , , 
Kunafa World,Frazer Town,39/1-2 Gold Mani Coles Road Cleveland Town Pulikeshi Nagar Frazer Town Bangalore,Desserts, , , , , , , 
Popular Burger,Electronic City,Shop 6 Krishnappa Gowda Building Doddathogur Opposite Wipro Gate 12 Electronic City Bangalore,Burger, Sandwich, Rolls, Wraps, , , , 
Daily Sushi,Koramangala 7th Block,226 Ground Floor 1st Cross Koramangala 7th Block Bangalore,Japanese, Korean, Sushi, Asian, , , , 
Samosa Party,Koramangala 5th Block,62 Jyothi Nivas College Road Koramangala 5th Block Bangalore,Street Food, Beverages, Fast Food, , , , , 
Subway,Soul Space Arena Mall Marathahalli,4th Floor Soul Space Arena Total Mall Doddanekundi Outer Ring Road Marathahalli Bangalore,Fast Food, Healthy Food, Sandwich, Salad, , , , 
Ambur Star Briyani,BTM,9 Outer Ring Road Kuvempu Nagar Stage 2 BTM Bengaluru,Biryani, Chettinad, Chinese, , , , , 
Snacks Bar,Varthur Main Road Whitefield,3rd Cross Dharmaraya Temple Street Ramagondanahalli Varthur Main Road Whitefield Bangalore,Fast Food, Street Food, , , , , , 
Pizzarea,Yeshwantpur,34/1 1st Floor 6th Main Near Sri Vighneshwar Medicals MSR Nagar Yeshwantpur Banglore,Pizza, , , , , , , 
Delhi Mess,New BEL Road,4 5th Main Road MSR Nagar Mathikere New BEL Road Bangalore,North Indian, Chinese, , , , , , 
Mad Over Donuts,Marathahalli,Delivery Only,Desserts, Beverages, , , , , , 
Bangarpet Pani Puri Chats,Jayanagar,2nd Block 80th Cross Near BBMP Office Back Gate Jayanagar Bangalore,Street Food, , , , , , , 
Pizza Hut,Ascendas Park Square Whitefield,8/9/10/11 4th Floor Ascendas Park Square Mall ITPL Main Road Whitefield Bangalore,Pizza, Fast Food, Finger Food, American, , , , 
Simply South By YummyEats,Koramangala 1st Block,96/1 Ground Floor 1st D Main Road Jakkasandra Extension Koramangala 1st Block Bangalore,South Indian, Kerala, Biryani, , , , , 
Communiti,Residency Road,67 & 68 Brigade Solitaire Opposite Advaith Hyundai Residency Road Bangalore,Continental, BBQ, , , , , , 
Chaat Street,Eat Street Koramangala 6th Block,114 1st Floor Industrial Layout Koramangala 5th Block Bangalore,Street Food, , , , , , , 
Sattvam,Sadashiv Nagar,35 4 & 5 th Floor J.M Plaza Opposite Shell Petrol Bunk Sadashiv Nagar Bangalore,North Indian, South Indian, , , , , , 
Mavalli Tiffin Room (MTR),Indiranagar,Namma Metro Pillar 62 100 Feet Road Indiranagar Bangalore,South Indian, , , , , , , 
Sorse,Whitefield,33 Sundari Armadale Whitefield Main Road Near Forum Value Mall Varthur Kodi Whitefield Bangalore,Bengali, Seafood, Beverages, , , , , 
Olive Grove,Electronic City,3rd Floor SBI Bank Building Neeladri Road Phase 1 Electronic City Bangalore,Continental, North Indian, Chinese, Italian, Mughlai, Kebab, , 
Rolls N Snacks,Vijay Nagar,9 Pipeline Road Vijay Nagar Bangalore,Street Food, Fast Food, , , , , , 
Chicken Darbar,BTM,Near HDFC Bank Outer Ring Road BTM Bangalore,North Indian, , , , , , , 
Donne Biriyani House,BTM,13 Shree Shakthi Mansion 1st Main Road Old Post Office Road Maruthinagar BTM Bangalore,Biryani, South Indian, , , , , , 
Hard Rock Cafe,St. Marks Road,4 & 16 St. Marks Road Bangalore,American, Continental, Fast Food, , , , , 
Kidilum,Whitefield,125/5 Near ITPL Pattandur Agrahara Whitefield Bangalore,Kerala, Chinese, North Indian, , , , , 
Rajanna Military Hotel,Jayanagar,1253 25th A Main 41 Cross 9th Block Jayanagar Bangalore,Andhra, South Indian, Biryani, , , , , 
Cake Delight,Sahakara Nagar,554 1st Floor F Block Byatarayanpura Sahakara Nagar Bangalore,Desserts, , , , , , , 
Nizam's Biryani House,Jalahalli,Site 1 2 3 Shettihalli Main Road Nandana Nagar Cross Jalahalli Bangalore,Hyderabadi, Biryani, Chinese, , , , , 
Hao Chi,Bellandur,Delivery Only,Vietnamese, Chinese, Thai, Japanese, Asian, , , 
Kaafi Desi,Marathahalli,3 Sai Baba Temple Road Green Garden Layout Silver Springs Layout Munnekollal Marathahalli Bangalore,North Indian, Street Food, , , , , , 
Stories - The Brew Chapter,BTM,348\1\2 Survey 62 29th Main 2nd Stage Lake Road BTM Bangalore,Bar Food, North Indian, Continental, Chinese, Beverages, , , 
Sri Raghavendra Stores,Malleshwaram,Opposite Manipal North Side Hospital Near Malleshwaram Railway Station Malleshwaram Bangalore,South Indian, , , , , , , 
The Yellow Tree,Hennur,1 Premier Park Near Saiacs CEO Centre Kothanur Doddagubbi Road Hennur Bangalore,Italian, Desserts, , , , , , 
The Burger Shop,Yelahanka,3 Maruthi Nagar Kogilu Main Road Yelahanka Bangalore,Fast Food, Burger, Sandwich, , , , , 
Hungry Darjeeling Chinese and Thai,CV Raman Nagar,40 5th Main 9th Cross Bysandra Main Road GM Palya CV Raman Nagar Bangalore,Chinese, Thai, , , , , , 
Sardarji Londonwaley,Koramangala 1st Block,New 114 1st Floor Industrial Layout Ward 67 Koramangala 1st Block Bangalore,North Indian, Chinese, Beverages, , , , , 
Smoor,Koramangala 7th Block,113 1st C Main Prestige Pinnacle Koramangala 7th Block Bangalore,Desserts, Cafe, Beverages, , , , , 
46 Ounces Brewgarden,Electronic City,43 Phase 1 Electronic City Bangalore,Chinese, North Indian, Pizza, Beverages, , , , 
Hotel Manu,HSR,119 Neardevi Eye Clinic Sector 5 HSR Bangalore,South Indian, Kerala, Chinese, North Indian, , , , 
Gorbandh Sweets & Snacks,BTM,72516th Main 2nd Stage BTM Bangalore,Street Food, North Indian, Mithai, , , , , 
Simpli Namdhari's,Jayanagar,Delivery Only,Healthy Food, European, Pizza, Fast Food, Beverages, , , 
Coal Spark,HSR,1567 Ground Floor NGR Complex 27Th Main Sector 1 HSR Bangalore,North Indian, Seafood, BBQ, Chinese, Beverages, Ice Cream, , 
Andhra Biryanis,Nagawara,Opposite Manyata Tech Park Outer Ring Road Nagawara Bangalore,Andhra, North Indian, Chinese, Biryani, , , , 
No 10 Fort Cochin,St. Marks Road,9 Halycon Complex St. Marks Road Bangalore,Biryani, Kerala, Seafood, South Indian, , , , 
Chakh Le India,Marathahalli,CKB Layout Muunekollola Marathahalli Bangalore,North Indian, Chinese, Rolls, , , , , 
Lalita's Paratha & More,Wilson Garden,1/22 Ground Floor 3th & 4th Cross Hosur Main Road Wilson Garden Bangalore,North Indian, Biryani, Mughlai, , , , , 
The Pork Point Coorg Style,Hennur,28/7 Kothanur SRK Nagar Post Hennur Bangalore,South Indian, , , , , , , 
Savoury Restaurant,Kammanahalli,183 Kammanahalli Main Road Kammanahalli Bangalore,Arabian, BBQ, North Indian, Chinese, Desserts, Beverages, , 
Biryani Pot,BTM,18 4th Main 14th Cross 4th Link Road Maruthi Nagar Madiwala BTM Bangalore,Biryani, North Indian, Chinese, Hyderabadi, Andhra, Wraps, , 
Swaad Bhara Rasoee,Ulsoor,Delivery Only,South Indian, , , , , , , 
Imperial Restaurant,Jayanagar,Opposite Sagar Hospital T Block 30th Cross Jayanagar Bangaluru,Biryani, Chinese, Hyderabadi, North Indian, , , , 
Big Bite,Vijay Nagar,1714 17th Cross 21st Main Maruthi Mandir Vijay Nagar Bangalore,Chinese, Fast Food, Beverages, , , , , 
Birinz - Firewood Biryani,Varthur Main Road Whitefield,Delivery Only,Biryani, , , , , , , 
Donne Biryani House,HSR,Delivery Only,South Indian, Biryani, , , , , , 
Sanchez,UB City,204 UB City Vittal Mallya Road Lavelle Road Bangalore,Mexican, Tex-Mex, Beverages, , , , , 
Hakuna Matata,JP Nagar,1231/35/2 24th Main 7th Phase Opposite Brigade Palm Springs JP Nagar Bangalore,North Indian, Asian, Seafood, Chinese, , , , 
Bake Ur Wish,Nagarbhavi,462 80 Feet Main Road Opposite Ambedkar Institute Of Technology Nagarbhavi Bangalore,Cafe, Bakery, , , , , , 
La Pino'z Pizza,Koramangala 4th Block,24 Shankar Plaza 80 Feet Road Koramangala 4th Block Bangalore,Pizza, Italian, Beverages, , , , , 
Kapital Kitchen,KR Puram,C8 And C9 Ajith Layout Chikkabasavanapura Main Road Near State Bank Of India Virgonagar Post KR Puram Bangalore,North Indian, Chinese, Seafood, Mughlai, , , , 
Cake Box,Koramangala 8th Block,74/2A 2nd Floor K.R. Garden Koramangala 8th Block Bangalore,Bakery, Desserts, , , , , , 
Gogula's Sweets & Chats,BTM,64 Ground Floor 20th 'B' Main Venkateswara Layout 1st Stage BTM Bangalore,Mithai, North Indian, Fast Food, Street Food, , , , 
The Tea Brewery,Koramangala 1st Block,982 Ground Floor 1st Main Road Koramangala 1st Block Bangalore,Tea, Fast Food, , , , , , 
Gowri Gajanand Sweets,Brookefield,603 AECS Layout Main Road Near Andhra Bank Brookefield Bangalore,Mithai, Street Food, , , , , , 
Maharaja Biryani House,Koramangala 8th Block,1st Floor Above Shruti Delicacy 45 80 Feet Road Koramangala 8th Block Bangalore,Biryani, Andhra, North Indian, , , , , 
Aattutheeram Kerala Restaurant,Hennur,Shop 3-6 Ground Floor Premises 28/2 Vidhya Manner Building Anjinappa Layout K Narayanapura Main Road Kothanur Hennur Bangalore,Kerala, , , , , , , 
Wonder Kitchen,Kengeri,Shop 3 & 4 Sirigandha Complex Near Bethesda School Satellite Town Kengeri Bangalore,Chinese, South Indian, North Indian, , , , , 
Jitu Bhai Dahibara Sweets & Savouries,Marathahalli,69/2 Sai Baba Temple Roadshiridi sainagar Thubarahalli Munnekollal Marathahalli Bangalore,Mithai, Fast Food, North Indian, Chinese, , , , 
Amritsari Kulcha Land,JP Nagar,123 24th Main Opposite Royal High School 5th Phase JP Nagar Bangalore,North Indian, , , , , , , 
Taaza Thindi,Jayanagar,1004 26th Main 4th T Block Beside HDFC Bank Jayanagar Bangalore,South Indian, , , , , , , 
Pallavi North Indian Veg Restaurant,JP Nagar,26 16th Cross Opposie Canara Bank 5th Phase 100 Feet Ring Road JP Nagar Bangalore,North Indian, Chinese, Maharashtrian, , , , , 
Nasi And Mee,Koramangala 4th Block,974 80 Feet Road Koramangala 4th Block Bangalore,Asian, Indonesian, Momos, Japanese, Sushi, , , 
Truly Punjab,Electronic City,Survey 84/4 Doddathogur Village Begur Hobli Electronic City Bangalore,North Indian, Mughlai, , , , , , 
1131 Bar + Kitchen,Indiranagar,100 Feet Road HAL 2nd Stage Indiranagar Bangalore,Continental, Asian, Italian, North Indian, Beverages, , , 
Mistaan Sweets And Chaat,HSR,Site 1313 24th Main Road Garden Layout Sector 2 HSR Bangalore,Mithai, Street Food, North Indian, , , , , 
Smoke House Deli,Indiranagar,Plot 1209 Ward 72 HAL 2nd Stage Doopanahalli Indiranagar Bangalore,European, Italian, American, Beverages, Continental, , , 
The Deagh,Frazer Town,69 M.M Road Frazer Town Bangalore,Mughlai, North Indian, Chinese, Biryani, Rolls, , , 
Mumbai Tiffin,HSR,2345 17th Cross Opposite Water Tank Sector 1 HSR Bangalore,North Indian, Beverages, , , , , , 
B2H - Biryani 2 Home,HSR,1/120 14th Main Road 5th Sector HSR Layout HSR Bangalore,Biryani, Mughlai, , , , , , 
Krishna Kuteera,Bannerghatta Road,19/3C Avanishringeri Nagar Nyanappanahalli Village Bannerghatta Road Bangalore,South Indian, North Indian, Chinese, , , , , 
Cake N Chef,Bannerghatta Road,1A Ground Floor 2nd Cross Venkatadri Layout Doresanipalya Bannerghatta Road Bangalore,Bakery, , , , , , , 
The Elephant Bowl Restro Cafe,HBR Layout,2 50/11 479/1 Ground Floor 3rd A Main Road 4th Block 1st Stage HBR Layout Bangalore,Fast Food, Italian, Continental, Pizza, Burger, Sandwich, Desserts, 
The Whitefield Arms Pub & Microbrewery,VR Bengaluru Whitefield,11B VR Bangalore Dyvasandra Industrial Area Mahdevpura Whitefield Bangalore,Modern Indian, Continental, BBQ, , , , , 
Potful - Authentic Biryanis,Sarjapur Road,Survey 15 Ground Floor Kaikondarhalli Sarjapur Road Bangalore,Biryani, Mughlai, Kebab, Wraps, , , , 
Uttsav Donne Biryani Mane,Nagarbhavi,326 Near AIT college Mallathahalli Nagarbhavi Bangalore,Biryani, , , , , , , 
Odia Dine,Old Airport Road,71st Main Road K R Garden Murgeshpalya Old Airport Road Bangalore,North Indian, Odia, , , , , , 
Esplanade,Indiranagar,201 Double Road Indiranagar Bangalore,Bengali, , , , , , , 
Al-Badia Restaurant,Kammanahalli,959 5th Main 2nd Block Kammanahalli Bangalore,Arabian, Lebanese, , , , , , 
Beijing Bites,Sarjapur Road,No.48 Second Floor Shanthi Archade Shub Enclave Harlur Main Road Sarjapur Road Bangalore,Chinese, Thai, , , , , , 
RS Donne Biryani & Natti Foods,HSR,7th Cross Road Agara Village 1st Sector HSR Bangalore,South Indian, Biryani, Chettinad, , , , , 
Vinny's,Banashankari,2467 24th Cross 2nd Stage Banashankari Bangalore,Pizza, Italian, Desserts, , , , , 
Banashankari Donne Biriyani,Banashankari,218/111th Main 50 Feet Road Hanumanthnagar Banashankari Bangalore,Biryani, Fast Food, , , , , , 
Tim Tim Kitchen,Rajarajeshwari Nagar,11/2 Mylasandra Village Global Village Back Gate RV College Post Kengeri Holi Rajarajeshwari Nagar Bangalore,North Indian, Chinese, , , , , , 
Straws,Richmond Road,17D btm layout,Fast Food, Beverages, , , , , , 
Khai Khai,HSR,19th Main Road Sector 2 HSR Bangalore,Bengali, Biryani, North Indian, , , , , 
Akshaya Deluxe,New BEL Road,21 BEL Road Indian Bank Chickkamaranahalli New BEL Road Bangalore,North Indian, Chinese, Seafood, Biryani, , , , 
Nandanam Restaurant,Electronic City,1st Phase Konappana Agrahara Opposite Altimatrik India Private Limited Electronic City Bangalore,Kerala, South Indian, Chinese, , , , , 
Green Pepper,Jeevan Bhima Nagar,1650 10th Main Near BSNL Office 80 Feet Road Jeevan Bhima Nagar Main Road Jeevan Bhima Nagar Bangalore,Kerala, Biryani, Seafood, Chinese, , , , 
Natural Ice Cream,Kalyan Nagar,5th Main 2nd Block HRBR Layout Kacharakanalli Sarvanga Nagar BBMP Kalyan Nagar Bangalore,Ice Cream, Desserts, , , , , , 
New Udupi Upahar,Marathahalli,49 Sai Temple Road Green Garden Layout Near Kundanahalli Gate Marathahalli Bangalore,South Indian, North Indian, Chinese, , , , , 
FreshMenu,Marathahalli,Delivery Only,Chinese, Continental, Italian, Healthy Food, Asian, North Indian, Pizza,
Shetty Lunch Home,RT Nagar,17 Dinnur Main Road RT Nagar Bangalore,Mangalorean, North Indian, Biryani, Chinese, , , , 
Hoot,Sarjapur Road,2034/69 Block 2 Kaikondrahalli Varthur Hobli Sarjapur Road Bangalore,Continental, Italian, North Indian, , , , , 
The Permit Room,Brigade Road,16/3 Ram Kunj Opposite Garuda Mall Commissariat Road Ashok Nagar Brigade Road Bangalore,South Indian, Modern Indian, , , , , , 
Butti,RT Nagar,Delivery Only,South Indian, Biryani, , , , , , 
Axomi - Taste of Assam,Koramangala 7th Block,361 Ground Floor 1st Main Koramangala 7th Block Bangalore,Assamese, , , , , , , 
Once Upon A Flame,HSR,36 1st Floor 14th Main Road 7th Sector 80 Feet Main Road HSR Bangalore,Steak, Continental, Burger, BBQ, Beverages, , , 
Bhorpet,Rammurthy Nagar,87 20th Cross Akshya Nagar Near SBI Bank Rammurthy Nagar Bangalore,North Indian, Bengali, , , , , , 
Sardarji Ka Dhaba,Bommanahalli,67/7 1st Floor Roopena Agrahara Opposite Mahindra Showroom Bommanahalli Bangalore,North Indian, , , , , , , 
Brooks & Bonds Brewery,Koramangala 5th Block,4 100 Feet Road Koramangala 5th Block Bangalore,Continental, Mediterranean, North Indian, Chinese, Finger Food, , , 
Yum In My Tum,JP Nagar,Delivery Only,Chinese, Pizza, Fast Food, Sandwich, , , , 
Chainama,Indiranagar,110 Ground Floor 18th Main 100 Feet Road Indiranagar Bangalore,Fast Food, Street Food, Beverages, Tea, , , , 
Belgian Waffle Factory,Rajarajeshwari Nagar,294 A 294 B Ideal Homes Township 12th Cross 17th Main Rajarajeshwari Nagar Bangalore,Desserts, , , , , , , 
Odia Dine,BTM,19/1 8th Main 19th Cross Alliance College Road NS Palya 2nd Stage Opposite Alliance Church BTM Bangalore,Odia, Bengali, North Indian, , , , , 
Namoora Dum Biryani,BTM,Delivery Only,Fast Food, , , , , , , 
Night Food Point,BTM,Delivery Only,North Indian, Biryani, , , , , , 
Cafe Medley,Koramangala 5th Block,473 17th C Main KHB Colony Koramangala 5th Block Bangalore,Cafe, Continental, Italian, Burger, Pizza, Street Food, Desserts, Beverages
Veena Stores,Malleshwaram,187 15th Cross Margosa Road Malleshwaram Bangalore,South Indian, , , , , , , 
Kundana,Bannerghatta Road,176 1st Floor Above Vodafone Store Opposite Brand Factory Bannerghatta Road Bangalore,Andhra, Biryani, North Indian, Chinese, , , , 
Memes And Memories,HSR,2735 16 Cross 27th Main Road Opposite NIFT College HSR Bangalore,North Indian, Chinese, , , , , , 
Tarbouche,Marathahalli,187/3 188/3 Ground Floor Panathur Outer Ring Road Opposite Prestige Tech Park Marathahalli Bangalore,Arabian, Fast Food, Beverages, , , , , 
Petuk,Whitefield,134/2 Shop E-09 10 Chancity Channasandra Kadugodi Mahadevapura Whitefield Bangalore,Bengali, North Indian, Chinese, Biryani, , , , 
Karnataka Military Hotel,Rammurthy Nagar,352/75 Devki Apparao Layout Dooravani Nagar Rammurthy Nagar Bangalore,Biryani, South Indian, North Indian, Kebab, , , , 
Andhra Ruchulu,JP Nagar,1319 100 Feet Road 2nd Phase JP Nagar Bangalore,Andhra, North Indian, Chinese, , , , , 
Podi Idly,Koramangala 6th Block,503 6th Cross Road Koramangala 6th Block Bangalore,South Indian, , , , , , , 
Grill Biryanis,Jalahalli,9 Jalahalli Cross Circle Jalahalli Bangalore,Biryani, North Indian, , , , , , 
Roti Ghar,Basavanagudi,17 Gandhi Bazaar Main Road Basavanagudi Bangalore,North Indian, Chinese, South Indian, Ice Cream, , , , 
Chai Days,Indiranagar,2019 100 Feet Road Indiranagar Bangalore,Cafe, Tea, Beverages, Fast Food, , , , 
Savi Sagar,Jalahalli,9 Jalahalli Cross Circle Jalahalli Bangalore,South Indian, North Indian, Chinese, , , , , 
PORKEATS,Koramangala 6th Block,67 17th B Main 6th Cross 6th Block Koramangala Bangalore,Goan, Mangalorean, , , , , , 
Anjappar,Indiranagar,54 Defence Colony Hal 2nd Stage Shanthinagara Indiranagar Bangalore,Chettinad, South Indian, Chinese, North Indian, Biryani, Tamil, , 
Occasions,Koramangala 4th Block,439 8th Main Road Koramangala 4th Block Bangalore,Bakery, Desserts, , , , , , 
Sultans Of Spice,BluPetal Hotel Koramangala,60 Jyoti Nivas College Road Koramangala 5th Block Bangalore,North Indian, Mughlai, Kebab, Street Food, Seafood, Desserts, Beverages, 
O.G. Variar & Sons,Rajajinagar,12th Main 2nd Block Rajajinagar Bangalore,Bakery, Desserts, , , , , , 
Figo Deli,BTM,62 1371/62 Serial 246 New BBMP Dollar Planning Layout Billekahalli Village Begur Hobli BTM Bangalore,Healthy Food, Italian, Salad, Desserts, Pizza, , , 
Kabab Mehal,JP Nagar,Kothanur Main Road Gaurav Nagar 5th Cross Road 7th Phase Besides Spencer's JP Nagar Bangalore,North Indian, Chinese, Juices, , , , , 
Kitchens@HSR,HSR,14th Main 5th Sector HSR Bangalore,Biryani, South Indian, North Indian, Chinese, Desserts, Beverages, , 
Punjabi Swag,BTM,950 16th Main Road 2nd Stage BTM Bangalore,North Indian, Momos, Mughlai, Beverages, , , , 
HOMMS,Brookefield,5/2 Kundanahalli Gate Thubarahalli Post Brookefield Bangalore,Momos, Chinese, Fast Food, North Indian, , , , 
Domino's Pizza,Kumaraswamy Layout,14th Cross 50 FT Road 2nd Stage Kumaraswamy Layout Bangalore,Pizza, Fast Food, , , , , , 
Lakeview Milkbar,MG Road,89 Kannan Building MG Road Bangalore,Desserts, Cafe, , , , , , 
Maa Da Dhaba,Yelahanka,791 MIG 2nd Stage MD Road Yelahanka Bangalore,North Indian, , , , , , , 
Udupi Park Inn,Hebbal,29 GVR Plaza Near Canara Bank Bellary Road Hebbal Bangalore,South Indian, Chinese, Street Food, Beverages, , , , 
Ice Cafe & Lassi Shop,BTM,36 Vyivavi Complex 4th Main N S Palya 1st Cross Road Industrial Area 2nd Stage B G Road BTM Bangalore,Beverages, Juices, , , , , , 
Tea Brew,Indiranagar,172 2nd Cross Road Double Road Indiranagar bangalore,Cafe, Tea, Fast Food, Street Food, Desserts, , , 
#54 Gully Kitchen,Malleshwaram,54 Railway Parallel Road Kumara Park Malleshwaram Bangalore,North Indian, Asian, Fast Food, Street Food, , , , 
Hammered,Cunningham Road,18 Ali Askar Road Cunningham Road Bangalore,North Indian, Continental, , , , , , 
Dolci Desserts,Cunningham Road,18/3 Ali Askar Road Near Kingfisher Airlines Office Cunningham Road Bangalore,Cafe, Desserts, Italian, Continental, Mexican, , , 
Jetlag,Rajajinagar,3 Industrial Suburb Opposite To Sheraton Hotel Near Orion Mall Rajajinagar Bangalore,Finger Food, Continental, North Indian, Italian, , , , 
